05-07-2026 22:45:43 INFO  UsuarioController - Iniciando autenticacao
05-07-2026 22:45:44 INFO  Version - HHH000412: Hibernate ORM core version 6.5.2.Final
05-07-2026 22:45:44 INFO  Environment - HHH000205: Loaded properties from resource hibernate.properties: {hibernate.connection.driver_class=org.postgresql.Driver, hibernate.format_sql=true, hibernate.connection.url=jdbc:postgresql://localhost:5432/SisCom _comercial_prog2_andre, hibernate.hbm2ddl.auto=update, hibernate.dialect=org.hibernate.dialect.PostgreSQLDialect, hibernate.show_sql=true, hibernate.connection.password=****, hibernate.connection.username=postgres}
05-07-2026 22:45:44 INFO  RegionFactoryInitiator - HHH000026: Second-level cache disabled
05-07-2026 22:45:44 WARN  pooling - HHH10001002: Using built-in connection pool (not intended for production use)
05-07-2026 22:45:44 INFO  pooling - HHH10001005: Loaded JDBC driver class: org.postgresql.Driver
05-07-2026 22:45:44 INFO  pooling - HHH10001012: Connecting with JDBC URL [jdbc:postgresql://localhost:5432/SisCom _comercial_prog2_andre]
05-07-2026 22:45:44 INFO  pooling - HHH10001001: Connection properties: {user=postgres, password=****}
05-07-2026 22:45:44 INFO  pooling - HHH10001003: Autocommit mode: false
05-07-2026 22:45:44 INFO  pooling - HHH10001115: Connection pool size: 20 (min=1)
05-07-2026 22:45:44 WARN  deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
05-07-2026 22:45:45 INFO  JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
05-07-2026 22:45:45 INFO  access - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@5c1cd326] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
05-07-2026 22:45:46 INFO  UsuarioController - Autenticacao realizada com sucesso
05-07-2026 22:45:50 INFO  ClienteController - Iniciando pesquisar todos os Clientes
05-07-2026 22:45:50 INFO  ClienteController - Quantidade encontrada: 0
05-07-2026 22:46:29 INFO  ClienteController - Iniciando salvar Cliente
05-07-2026 22:46:29 INFO  ClienteController - Cliente salvo com sucesso
05-07-2026 22:46:29 INFO  ClienteController - Iniciando pesquisar todos os Clientes
05-07-2026 22:46:29 INFO  ClienteController - Quantidade encontrada: 1
